,131767
གྱེར་མཁན,1
རྟའི་ཆོལ་ཁ,1
ནག་མོའི,1
བྱང་བུས,1
མི་ཚར་བ,1
ཞིབ་ཚགས་ལྡན,1
རྒྱུག་འགྲོ,1
ཚོགས་བསགས་དུས,1
ངེས་རྩིས,1
འགྲེལ་ཚིག,1
ཟ་ལེ་རྒྱའི,1
མི་སྒོ,1
བསྐྲུན་ཕྱིར,1
འཁྱག་ཟ་འཁྱག་ཉལ,1
འཚོལ་རྟོག་སྙིང་སྟོབས,1
བསྡུ་ཉོའི,1
ངས་དེ་ལ,1
འདུལ་སྡེ,1
སྤེལ་ཆེད,1
བྲེལ་དངངས,1
ཆོས་རིན་པོ་ཆེ,1
ཁྱི་ཕག,1
ཆེན་པོ་ར,1
མི་འབྲང,1
ཕྱིང་པ,1
དཔེ་ཇེ་འཁྱགས,1
རིག་གནས་བསྐྱར་དར,1
སྨན་འབུམ,1
གཏན་ལ་དབབ་པ,1
སེང་ཁྲིར,1
རྨ་རལ,1
མི་མཛད་མཁན,1
བཙོན་འོག,1
བགོའི,1
ཁེག་ཐེག,1
སྲུང་ཉར,1
འཁྲུག་ཡ,1
ཆེད་ལྡན,1
གཅུ,1
དུང་མཚོ,1
ཞིང་རྭ,1
གདུང་ཆོས,1
མ་བསླངས,1
མཁས་དབང་མ,1
དྭངས་རྩེ,1
གྱིམ་ཤོད,1
མིན་ཡང,1
བརྒྱབ་ཙམ,1
ནགས་རྭར,1
མི་བརྗེ,1
བསོད་ནམས་རྒྱན,1
པའེ་རིགས,1
ཚོར་ནུས,1
དབའི,1
ཕུད་ཡ,1
འོས་ཞུགས་མི,1
གབ་ཚིག་གི་རྒྱན,1
ལེགས་ཆས,1
ཆུ་མེད,1
བསྐུལ་པའི,1
བདེ་བཤེགས,1
ག་ཆུ,1
འདེམས་བརྐོ,1
དགེ་མིན,1
བསིལ་པོ,1
གཟུགས་ཐང,1
རྒྱ་ཤ་ཅུ,1
ཆིངས་གསལ,1
མཉམ་ཤུགས,1
གཡང་མདའ,1
རྣང་བཞིན,1
ཁ་ཏའི,1
འཛད་མེད,1
ཡིན་པ་རེད།,1
སྐྱེ་པ་ཕྱི་མ,1
སྐད་ཤོར་བ,1
གོས་རྒྱུ,1
བ་ལང་ཚོར,1
མི་ཞུ,1
བདེ་སྒྲོལ,1
རེ་ཙམ,1
ཟེགས་མིན,1
ཟ་ཁ,1
རང་འབབ་ཆུའི,1
བྲེག་ཡ,1
མ་ཧ་ཡཱ་ནའི,1
འཕྱིང་ཏོ,1
གཞུང་ཆེན་པོ་ལྔ,1
ནོར་ཁྲལ,1
འཇར་པན་གྱི,1
རྩེ་རྣོན་པོ,1
ལབ་ཙེ་ཁྲ་རིས,1
ཇིས,1
གྲབ་བྱེད,1
བཟི་བེར་བེར,1
འབྱོལ,1
བཟི་ཤས,1
ཡིག་འཕྲིན,1
འཇུ་དུས,1
བྱུག་མཁན,1
འདྲ་པོ་བཙལ,1
ལད་བཟློས,1
ཆད་རྒྱུ,1
སྒྲོལ་དཀར་ལགས,1
སུའུ་ཀྲིག,1
ལྷན་སྐྱེས་ཀྱི་དྲི,1
སྲིད་པ་མོ་དགུའི,1
ཪིན་པོ,1
བྱང་ཆུབ་སེམས་མཆོག,1
མགོ་མི,1
གསོན་འབུལ,1
བརྒྱབ་བརྒྱབ,1
རྒྱགས་པོ,1
ཞབས་མཐིལ,1
རྡོ་རྗེ་རབ་བརྟན,1
སྐར་ཆ་བཅུའི,1
སྐྲོངས་པ,1
སྤྱི་འཐུས་གྲོས་ཚོགས,1
དཔེ་དེབ་རྡ་ས,1
སྣ་འཚུབ,1
ཕྱག་འཚལ་མཁན,1
འགྲེངས་པ,1
བལྟ་ཀྱོག,1
འགོ་ནད,1
འཆམ་འཁྲབ,1
ཀླད་ཞོ,1
ཤོད་ཨ,1
ཁག་བ,1
སེན་གཅུས,1
དོན་སྨིན,1
ཚར་ཚར་ན,1
མགྱོགས་རྩལ,1
སྦྲ་ནག་ཅན,1
ཆོ་ཞེ་དྲག,1
བཙལ་རོགས,1
ལོ་རྒྱས,1
ཐིག་ནག,1
ལམ་སྐོར,1
བོད་གངས་ཅན་པའི,1
ཡུལ་ཟོག,1
ཆོས་ཀྱི་སེངྒེ,1
རབ་ཏུ་ཚ་བའི,1
མི་འཚམས་པས,1
བརྒྱང་ཤིང,1
སྡུག་རེ་སྡུག་ཚད,1
ཀེམ་ཀེམ,1
རྡོ་ཆུང་ཆུང,1
མ་བྲིས་པ,1
ས་་ལ,1
ཤེས་སྐབས,1
གཤེན་ངག་ཚིག་གསུམ,1
ཕན་ན,1
སྐྱབས་བཅོལ་པར,1
མཛའ་བོར,1
གྱུར་དུས,1
གཙང་དགེ,1
དོགས་འཛེར,1
སྟག་ཚང་བླ་མའི,1
མ་འཐུང་པ,1
འབྲུ་སྤྱི་ཕུད,1
མིའུ་གདུང་དྲུག,1
རིན་ཆེན་སེང་གེ,1
ཞྭ་འདི,1
མངར་འགྱུར,1
འཁྱོལ་བའི,1
སཾ་ཀྲྀ་ཏ,1
ཧུའུ་ཀྲུའུ་རྫོང,1
བསྐོང་འཚོག,1
ཞན་ཐག་ཆོད་པའི,1
དངུལ་འཛིན,1
རུལ་དྲི,1
ཁེངས་ས་མ་རེད,1
འཕྲིན་གསར,1
མི་གཤོང་བ་ཙམ,1
དུས་སྔ་མོ,1
བཀློག་ཚུལ,1
ཤོག་བུར,1
ཤ་རྫོང་རི་ཁྲོད,1
བཞུགས་གོ,1
སོག་བཟའ,1
གུས་ཚིག,1
གཤིས་སྐྱོང,1
ཁེའུ་གང,1
རཱ,1
ཡིག་སྙིགས་སྣོད་རྟགས,1
ལྭ་སེར་པོ,1
ཤུག་གཅིག,1
སྤོམ་རའི,1
ཆོག་གྲྭ,1
བསོད་ནམས་དབང་མོ,1
ཁ་ན,1
ཏེ་ཀ,1
འཐུས་ཚབ་རུ་ཁག,1
བསིལ་པ་ཚལ,1
སྐུ་འཚོ་བཞུགས,1
བསྒྱུར་རྒྱུའི,1
དགོས་ར,1
བཏོན།,1
གདོོང་གྲྭ་བ,1
བཙུགས་ཤུལ,1
དགེ་བཤེས་དཔལ་སྐྱོང,1
ཞིག་པས,1
བསམ་ཐོག,1
མ་སྦས་པ,1
ཤར་སྐབས,1
ས་དཀྱིལ,1
སྐྱོངས་བའི,1
ཚིགས་དཀར,1
མ་ཆུད་པ,1
ཚུར་རྒྱུགས,1
མ་ཧ་ཀ་ལ,1
ཧྰ་བྷ་ར་ཏའི,1
ངག་དབང་བཟོད་པ,1
ཆོས་དོན་ལས་ཁུང,1
བུ་ཇོ,1
ཨེར་ལང་ལྷ་ཁང,1
བློན་རྒྱུད,1
ཞིབ་མཇལ,1
དམ་ཅན་ཆོས་རྒྱལ,1
རུས་པས,1
ཕྱི་འགྲིམ,1
བཅོལ་ཡུལ,1
ལྷུང་སྒྲ,1
བཀའ་བློན་ཟུར་པ,1
ནོར་ས,1
དངུལ་ཉ,1
ཁང་བྱིའུ་ལགས,1
བཏམས་པའི,1
མཁར་ཁྱིམ,1
དབུ་མ་འཇུག་པའི,1
དགྲ་ཤ་ལེན,1
སྐབས་འཚོལ་བས,1
དབྱར་དགུན་སྟོན་གསུམ,1
དེ་འཛིན,1
མཚོན་ཆ་ཅན,1
རྡོ་རྡེའུ,1
མཐའ་འཁྱོལ་བ,1
མི་སྣ་གྲགས་ཅན,1
ལན་ཙའི,1
ཕྱི་དངོས,1
ཙ་མི,1
ཕྱི་སྒྲོམ,1
འཐེན་ཐབས,1
ཆ་དུང,1
འཕུར་བར,1
ཚོགས་ཕེབས་པ,1
ཡོང་ར,1
འགྲིམ་འགྲིལ,1
སྐྱེས་མ་སྐྱེས,1
ཤུགས་ཀྱང་མེད་པ,1
བསྙལ་ཁོག,1
དགྱེས་བཞེས,1
གནང་ཟེ,1
བཅུ་ལོ,1
སྲོག་གཅད,1
བསྟན་པ་ན,1
ལབ་ཕན་འདུམ,1
ར་རི,1
མང་ཚོགས་ཚོ,1
ཇོ་ནང་པར,1
ཤིན་རྗེའར་རྨད,1
ཅི་མིན་ནན,1
འདུག་པས།དེས,1
སྟོབས་ཤུགས་ཅན,1
རྗོད་སྲོལ,1
འཐོར་ཞོར,1
ཁ་སོས་མིན,1
ཡི་དམ་གསུམ,1
ཁྱད་བོན,1
སྡེ་དགེ་རྫོང,1
ཟོ་ཕྲུག,1
ཐོས་རྐྱང,1
རིན་ཆེན་ཟླ་བ,1
ཨིནྡྲ་བྷུ་ཏི,1
སྤུ་ལོང,1
རྩེ་བཞིན་པའི,1
མི་བཟང།,1
སྐྲག་ས་མེད,1
འཁྱག་གླིང,1
ལྭ་བོའི,1
བཏགས་པས,1
ཨ་སྟག་ལྷ་མོར,1
མ་བསྒྲུབ་ན,1
ཕབ་དུས,1
འགྲོལ་བར,1
དངུལ་མེད,1
གྲོས་རིམ,1
པད་མའི་རྡོ་ཁང,1
མཐིང་མདངས,1
མི་གསུང,1
གནས་སྤོ་བའི,1
གང་ཡང་རུང,1
བཤལ་སྨན,1
འབྲུག་སྒྲའི,1
ཁྲག་མཚོ་འཁོལ་བ,1
རིག་གནས་དྲ་བས,1
གཡོག་ཡ,1
ཞིང་ཕྱུགས་ཅུའུ,1
ཀོ་སེ་ཁེ་ཝས,1
མཆོང་བཞིན,1
བརྡེབས་པ,1
བྱེད་ཚདལ,1
ཏྲེ་ཧོ་ཨ་ལུ,1
མ་བྲིས་པའི,1
སྤོབས་པ་ལྡན,1
ངན་གཞོམ,1
བརྩི་པོ,1
ལྟ་གཞལ,1
མི་འཕྱི་བ,1
རྒྱལ་པོས་ཏི་ཤྲཱི,1
འབྲེལ་བ་མེད,1
དོན་གྲུབ་སེང་གེས,1
ྱེད་རང,1
པལ་བ,1
སྡེ་བདུན,1
ཤར་བརྒྱུད,1
ང་གསུམ་པར,1
ཧར་ལམ,1
ཉིལ,1
འབུལ་བཤམས,1
ཁུག་མར,1
དགོང་མཚམས,1
ཟེར་ལུགས,1
དུས་དེབ་ཁང,1
ཨ་ནེ་ར,1
དབུ་འབྱེད,1
ལོཙམ,1
བསྟོད་སྤྲིན,1
ཆུ་ཕོ་སྟག,1
རེས་མོའི,1
འབྲོང་ཁྲག,1
མཇུག་བསྒྲིལ་བ,1
ག་ལ་འགྲོ,1
ཏོང་ཡང,1
སྟག་མོའི,1
མངོན་བཞིན,1
རྔ་རྟགས,1
གླུ་གར་ཚོགས་པས,1
ཉེས་འོངས་ཞེས,1
ཚགས་ན,1
འདྲེད་བརྡར,1
འབྲས་སྡུར,1
སྲུང་ཡོལ,1
ཁྲེས་བོ,1
མཉམ་སྣང,1
ཡུལ་སྐོར་དོ་དམ,1
རྨ་རྒྱལ་སྤོམ་རའི,1
ས་བདེ,1
དུག་མདའ,1
འབྲོང་རྩེད,1
ཕ་ཁའི,1
ཅོག་རོ,1
མྱུར་མོའི,1
ཁུངས་ལུང་མེད་པར,1
མ་བསྟེན་ན,1
སྐམ་རྗེས,1
བོད་ཡིག་དུས་དེབ,1
རྗེས་སུ་འ,1
ཆུར་འཛིན་པ,1
སྨག་རིམ,1
ཆོས་རྗེ་རིན་པོ་ཆེས,1
ཕར་ནས,1
ཧྲང་ངེ,1
དྲན་ཐེངས་རེ,1
གཤེན་བསྟན,1
གཟར་བ,1
རམ་བུ,1
རགས་བསྡུས་ཙམ,1
ཐོག་མཐའ་ཀུན་ཏུ,1
ཕོར་ཐིའུ་ཀལ,1
དྲྭ་ཁང,1
ཁ་གཅོད,1
སྦྲ་མ་གུར,1
རྨ་རྒྱལ་སྦོམ་ར,1
སྤྱི་མདོས,1
དུལ་ལྷའི་རིགས,1
འགྲུབ་རྗེས,1
བསྐྲད་ན,1
གྱོན་འདོགས,1
རོང་བཙན་ཁ་བ་དཀར་པོ,1
ཡེ་ཤེས་འབེབས་སྔགས,1
གེ་སེར,1
ཤར་སྐྱོད,1
ཁྱད་གྲྭ,1
དགོད་གཏམ,1
རྩྭ་སྐམ་པོ,1
ལེན་ནོ་བཟོ,1
རྫོང་བའི,1
རྒྱག་ཐུབ་པའི,1
སྡེ་དགེར,1
མངའ་གསོལ་བའི,1
སྣའི་དབང་པོ,1
ཀློང་བརྡོལ་བས,1
བྲངགི,1
ཤེས་རྒྱ་ཆེ,1
ལྔ་བཅུ་ང་གསུམ,1
བུ་བཙའ,1
བཙངས་པ,1
རི་ཡོང་བཟའ,1
ཆུའི་ལང་ཚོ,1
རྙིད་པར,1
ཧྲིལ་བོའམ,1
བཏུས་བའི,1
གནས་འཁོར་བ,1
ཁྲ་ལམ་མེར,1
ཆ་མཚོན་ནའང,1
ཚ་རོང,1
ཇུས་འདོན,1
ལོ་བརྒྱའི,1
སོག་ཞྭ,1
འཁྲུག་ན,1
མངོན་གསལ་ལྡན་པའི,1
སོར་མོས,1
རྨི་ཐག,1
གྲོལ་ཁའི,1
དགེ་བ་སྒྲུབ་མཁན,1
མྱང་པོ་རྫོང,1
གསུམ་བ,1
འགྲོ་བའི་ཚེ,1
དམའ་དྲགས,1
དྲུང་ཆེ,1
སྦྱིག་པ,1
སྐར་འཛིན,1
ཆོག་ཡ,1
ལྷིང་ངེར,1
ཟས་བཅུད་རིག་པ,1
ཁྱེའུ་པཱ་ཎིས,1
གསེ་བ,1
ཞན་ཡང,1
དགུ་ཆུ,1
འགྲིམ་རྒྱུ,1
ཉི་འོག,1
ཛོ་ནོལ,1
བསིལ་ཞྭ།ཅ་ལ,1
ས་ཁྱི,1
ཡིག་འཇོག,1
གཡིས་རྩམ,1
རི་ཆུང,1
སྟེའུ་ཁ་མས,1
ཆེས་ཆུང་ངུའི,1
ཁྱིམ་གཉིས་ཀ,1
ཏྭ་ཡི་ཝན་ཤ,1
མི་བྱ་མཁན,1
འཇགས་པར,1
ཆ་ལྡན,1
སྦྲའི་ཚེ,1
ཆུང་ཚགས,1
དྲང་པོ་བཤད་ན,1
སྐམ་པའི,1
ཁོམ་སྐབས,1
ངོ་ནག,1
འདྲོངས,1
འཕྱེ་མ་ཉིད,1
བསམ་གཏན་བར་དོ,1
བཟོད་སྲན,1
ངམ་ཞེས,1
འབྲི་འོས་པའི,1
ཆེ་སའི,1
རྫ་ཆུ་ཁའི,1
རིགས་རུས་ཆོ་འབྲང,1
མིག་གསུམ་ཅན,1
ཕྱགས,1
ཁ་མང་པོ,1
མེར,1
སླག,1
བསིལ་བས,1
སྲིད་དམ,1
ཆེ་ཆུང༌,1
དཀུའ་བོ་ཆེ,1
ངན་ཤོས,1
ཏིང་ཀྱཱ་ཚང,1
གཙང་རྒྱུད,1
བསྙེལ་བ,1
ཁ་བཙུམས,1
མི་ཟིན་མཁན,1
དབྱེ་ཞིབ་པ,1
འདོད་འཇོའི་བ,1
གུ་གེའང,1
གྱིས་ཤིག,1
དེ་སྙེད,1
སྐལ་བཟང་ཚེ་སྐྱིད,1
གཏམ་ཐུང,1
ཕྱི་ཐུམ,1
དཔག་ཐུབ,1
ལས་བཞི,1
བསུ་པ,1
འཕྱུགས་པའི,1
ཆགས་སྒོ,1
མ་འབྱོར་ཙམ,1
གུར་ཕུབ,1
ཁྲང,1
བུམ་རྡུལ,1
འགོ་འཛུགས་པའི,1
ཧྲི་གུང,1
ལབཡ་ཡ།,1
ཚང་ཡ,1
ཕྱིར་རོལ,1
བརྗོད་བྱ་ལྡན,1
རིགས་,1
ཏིག་ཙི་ཡང,1
ལུང་གྲོང,1
སེར་ཁ་མ,1
བཏུར་པས,1
སྐྱག་གཟན,1
ཕྱག་འཚལ་པ,1
ཅ་དག,1
ལྕི་ཉིན་སྲིབ,1
ཕྱག་བཅས,1
འགྱེགས,1
བྱ་སྐྱིབས་ཚལ,1
དལ་རྟེན,1
བཀླག་བྱའི,1
རྨ་ཁར,1
མི་བཀང,1
མཆིས་,1
སྤྱོད་རྒྱ,1
འཇལ་སྤྲོད,1
དངུལ་སྐར,1
ནན་ཞང་མུ,1
བསམ་ཤོད,1
དད་བརྩོན,1
ཅི་མཆིས,1
མི་ཟེར་ན,1
ཚང་མ་ལོད,1
ཇོ་བོ་བདག་པོའི,1
འོག་རིམ,1
བོད་ཞི་བས,1
རོང་རོང,1
ལི་ཐེ་སེ,1
བྱེད་ཡ་མེད,1
བང་མཆོངས,1
མ་བཞག་ཤག,1
སྤར་གང༌,1
མཚལ་ཐིགས,1
མངའ་ཐང་ཅན,1
ཤེས་མཁན་གྲས,1
དྲྭ་འབྲེལ,1
མི་ཆེས་ན,1
བརྒྱུད་ལེན,1
འདྲུ་དུས,1
རི་ཆུང་ཉག་ག,1
རོང་བོར,1
གནྔྷི,1
བཞི༌བཅུ་ཞེ་གྲངས,1
འདུས་པའི་ཚོགས་པའམ,1
སྣོད་གཞན,1
ཝེ་ཁི,1
མུ་བཞིའི,1
སྔོ་ལྗང་ལྡན་པའི,1
ཟ་རན་མེད,1
དགེ་བསྔོ,1
གཞན་ཉེའི,1
བྲང་རྔ་རྡུང,1
བལྟར,1
རྨ་རྗེས,1
སྣ་ཁྲིད་མཁན,1
གི་སྡེ,1
དགུ་ཐོག་ཅན,1
ཤྭ་སྐྱ,1
བོད་ཟླ་ལྔ་བའི,1
གླང་ཕྲུག,1
སྒུལ་སླེའི,1
བློ་རིག་མིན,1
འཕྲུལ་འདེགས,1
གླུ་གར་ཕོ་བྲང,1
འཁྲིལ་བ,1
བདེ་ཆོས་ལགས,1
སྔ་མའི་ལས,1
ཕོ་རབ,1
རྨོག་དཀར,1
དུང་དཀར་ཚང,1
སེར་ཐིང,1
ཉུང་དྲག་ཤག,1
བླུག་རྗེས,1
གཏེར་རིའི,1
བཞག་སར,1
སེལ་ཀིན་པའི,1
གང་གཱའི,1
བྲམ་ཟེའི་རིགས,1
བསོགས་པ,1
གྲག་མེད,1
གྲོ་ཤུན་དཀྲིས་པའི,1
སྟ་གྲི,1
རྩེ་རྩིས,1
ལུས་རྩལ་པར,1
མི་འཁྱམས་པ,1
ཡུ་མོའི,1
ངག་དབང་སྨོན་སྐྱིད,1
བོན་ཆོག,1
དཀྲོལ་མཁན,1
སྤུས་བསྒྱུར,1
འགན་ཁྲིད,1
འགོས་གཡག་ཆུང,1
བསད་གསོད,1
བརྡར་ས,1
དམར་གཞུང,1
འཚམ་ལུགས,1
མཐུག་རྐྱེན,1
གཙང་ཆབ,1
དཔེ་སེམས་པ་སྡུག,1
མི་ཕམ་རྒྱ་མཚོས,1
བཞོན་རྩིས,1
སྐད་བརྡར,1
ཐོས་བ་ན,1
སྣ་སྣེ,1
ད་ནས་བཟུང༌,1
གནས་ལན,1
གཤིན་སར,1
ཡི་ཤུར,1
བརྗེ་སྤོར,1
འཇོངས་དབྱིབས,1
གནམ་སྔ་མོ,1
འདར་ར་ར,1
ལྷ་བཙན་པོའི,1
རེག་བྱས,1
ཞིབ་འཇུག་ཚོགས་པའི,1
མི་བལྟ,1
ཟེར་ན་མ་ཟེར་ན,1
ཅི་ཐབས,1
སྟོན་ཆོས་དང་པོ,1
ཀེ་རྡོར,1
ཁ་ཚེ,1
ལྷན་ཁང་ཁག,1
ཞེད་ཞེད་ས,1
རྒྱུན་མི་ཆད,1
སྒྲ་སྒྲོག,1
ངོ་བཤུས,1
དགེ་འདུན་པའང,1
ནད་བྱུང,1
ཁྱི་ལྤགས,1
ཡིད་པ,1
ཁུག་གྲོ,1
བལྟས་དཔྱད,1
མ་ཚིམས,1
ཁྱབ་འཇུག,1
གོ་སྒྲིག་པས,1
ཡག་པོ་ཅན,1
མིང་གཞིའམ,1
བདེ་འབྱུང,1
གདོང་གྲལ,1
རོང་བོ་བླ་མ,1
འཁྱེར་ནས,1
གངྒ,1
དགའ་མགུ་ཡིད་རངས,1
འགལ་ཁྱབ,1
བཀར་ཚེ,1
རྗེ་ཙོང་ཁ་བའི,1
དཀར་མཛེས་ཀྲོའུ,1
སྨོས་པ་ན,1
འབྲོང་ལུང་ཧ་ལུང,1
རྨོ་ཕྱུགས,1
ལྐོག་ལྐོག,1
སྐྱ་རྟ་མཛོ་ཁྱི,1
ཀ་ར་ཎ,1
རང་བྱུང་རིག་པའི་རྡོ་རྗེའི,1
གཡག་རྭ,1
གདོང་གཤིས,1
ཨ་ཞི་ཡ,1
ཨིག་ཀ,1
རང་ཕན་གཞན་གནོད,1
མདོག་ལྟར,1
དབྱེར,1
ཁྱོད་ལ,1
ཤོ་སྦག,1
སྟོད་བྱས,1
བབ་པའང,1
བཀྱགས་ཁར,1
སྤྱི་སྒྲིགས,1
མ་སྙེད་པ,1
ཡིན་སྟངས་ཡིན་ལུགས,1
དྲྭ་ཕྱེད་ཅན,1
ཧར་ཧོར,1
རྡོ་རྗེ་མཁའ་འགྲོ,1
བར་གཅོད,1
སྲོག་ཆགས་རིགས,1
ནན་སྨིན,1
མཚོ་འདབས,1
རྒྱ་སེང་གེ,1
མི་སྒེར་བའི,1
སྤྲང་སྣྲི་མོ,1
དང་པོསངས་རྒྱས,1
ངག་རྒྱུག,1
ཡ་མ་བྱེད,1
ལུང་བཞི,1
བསམ་བློ་བ,1
མི་འབྱུང་བས,1
རུ་ཐོ,1
ཚེས་མགོ,1
བསོད་ནམས་པད་འཛོམ,1
མ་གཟབ,1
མི་ལུང་རྩིས་གསུམ,1
ཁྲིད་པར,1
འགོར་མེད,1
ཡོད་རབ,1
ཉུང་སར,1
མྱངས་སོང,1
ཧབ་པ,1
རྒྱབ་ཤ,1
མི་འཚམས་པའི,1
བསྒྱུར་ཐབས,1
ལྗང་ལྡེམ་མེར,1
ཨ་ཤིང,1
ཡིན་མཐར,1
ལོ་སི,1
ལྷོ་ཁོ་རེ,1
སྙིང་མགོ,1
ལས་རྒྱབ,1
གཡུ་སྒྲ་ཕུག,1
རྒྱང་བལྟ,1
རྒྱོབས།དཔལ་ལྡན,1
པཎ་ཌི་ཏ,1
མིག་བརྡ,1
ཚེ་རིང་འཆི་མེད,1
ཨ་འཛོམ་འབྲུག་པ,1
ལྡིངས,1
ངན་མཚང,1
ཕབ་བསྐྲུན་པ,1
ཉམས་ཆུང་ཆུང,1
དགེ་འདུན་གྲུབ་པ,1
ཀྲུའུ་མི་ཕིང,1
ལོལྷག,1
སྣོས,1
འཐིབས་པས,1
གུར་ཟུར་བརྒྱད,1
གྲལ་གཞུག,1
ཚེ་ལོས,1
ཚེ་རིང་ལེགས་བཤད,1
སྤྱང་སྟུག,1
འདང་ཙམ,1
ཇི་སྙེད་པ,1
ལན་ཕུལ,1
སོང་ཨ,1
ཆེད་་དུ,1
སྐམ་དུས,1
རྩ་དོན་དུ,1
གྱང་གཞས,1
རུ་སྨྱུག་མ,1
སྤུན་གྲོགས་ཚོ,1
གཏན་འགྲོགས,1
སློ་མར,1
གིའི,1
སྐོལ་ཡ,1
མཉམ་བསྐྲུན,1
ཤར་སྒོའི,1
དྲ་མཛོད,1
བགོ་ཐབས,1
ས་ཆེན་པོའི,1
ཤེས་རབ་དཔལ,1
ཤིང་དྲ་མ་ལྡན,1
སྲིད་པའི་འཁོར་ལོ,1
ཆུ་འོག,1
མུ་ཏྲའི,1
ཐུགས་བསུན,1
དྲུག་ཅུ་བའི,1
གྲུངས་གཞུག,1
བལ་སྤུས,1
རི་བཀག,1
ཨ་པན,1
བསྒྲིབ་པ,1
བསིལ་ཆུར,1
དོད་དྲག་པའི,1
སྐབས་དེྀྀར,1
མཆོད་མར,1
རྟ་བཞོན་རྒྱུ,1
ཀིའི,1
མ་བཞུད,1
མོ་ནད་ཅན,1
དཀྲུས,1
ཁ་ཐུར,1
ཁྱེད་རང་ལ,1
རྒྱུག་ལམ,1
ཁྱེམ་ཙེ,1
བོ་ངོམ,1
འི་སེམས,1
ཤེལ་ཆུ,1
ཆུ་ཚོདཔ,1
ཕྱི་སའི,1
སྙིང་ཆེན,1
ཡར་མོ,1
ཁོ་ཅག,1
ཨོ་རེད,1
མི་ཆེ་འམ,1
ཚད་ཡོད་ཀུང་ཟིས,1
སོ་པ,1
ཚུར་རིའི,1
བཟང་གྲགས,1
བརྟུན་པ,1
ཟུ་རུ་འཕྲིན་ལས,1
རིན་པའོ,1
དབུ་འཚུགས,1
ལྔ་བརྒྱ་བརྒྱད་ཅུ,1
ཤིང་གཞུ,1
ཤེལ་གྲོང,1
འཇིམ་གོང,1
ངོ་གནོང་གནོང,1
སྐྱུག་མེར་ལངས,1
གཟབ་བཞེས,1
ཚབ་མིང,1
མ་སྔས,1
ཐིག་ཤུབས,1
གཏོང་མཁན་ཚོས,1
ཡོད་འདོད,1
བཅུ་བཞི་པོ,1
སྒེས་སྟེང,1
ནོར་བུ་གླིང,1
འབྲུག་པས,1
དེང་རབས་ལུགས,1
བསྐྱེས་སོ,1
རྒྱུད་སྐུལ,1
མི་འདང་པ,1
ལྕགས་ཁྱི,1
མཛེས་སྣང,1
འོ་རྩི,1
མཐོང་མ་སོང,1
སླ་ཤོས,1
གཞོན་ན,1
ྷདཔའ་བོ,1
མི་འབྲི་བའི,1
མང་སྐོལ,1
བཞག་པའང,1
དྲན་མ་ཉིད,1
ཐུབ་བསྟན་དར་རྒྱས,1
མཐོ་རིམ་པའམ,1
འོང་མ་ཐག,1
རིམ་པ་དགུ,1
གློ་གསོས,1
མི་རྟ,1
དཔེ་རྩོམ,1
བརྫུ་ཐབས,1
གཟུགས་བརྙན་པ,1
ཀ་པའི,1
མཐུན་པ་དྲུག་སྐོར,1
བསུབ་ཐབས་མེད,1
དོན་དག་གཅིག,1
བལྟ་ནས,1
ལྕགས་ཐུར,1
ཆུ་ཁ་ན,1
གཡི་སླག,1
ཁ་ཤ་ལྡག,1
དྲུང་སྲོང,1
འཕག་ཐེངས,1
ཚུལ་འདི,1
འདུ་འཛི་རྒོད་པས,1
མནལ་མ་ཁུག་པ,1
བྱ་རྡོ,1
བཅས་པའམ,1
རྗོགས་པའི,1
ཚ་མོར,1
སྦྱར་འདོད,1
རྩི་རྐང,1
ཕུན་སྐྱིད,1
དབེན་འཇགས,1
ལྟའོ,1
དཀར་མོའི,1
བཞེས་མཐར,1
ཀུན་བཟང་སྒྲོལ་མའི,1
ཐུལ་ཐུལ,1
ཁྲག་རྩི,1
ཞལ་གྱིས་བཞེས་པའོ,1
རྩེ་གཟེངས་མདོ,1
ལྷམ་སྤུ་མ,1
ཚོགས་པ་ཁག,1
སྟེང་ཤོད,1
ཚུར་མཆོང,1
མཚན་སྤྲིན,1
སྐད་གཉིས་སྨྲ་བ,1
ཁྲོ་བོའི་རྒྱལ་པོ,1
ཐག་བཅད་པའི,1
ནོར་བུ་གདོང་གསུམ,1
ཕེབས་ས,1
པོ་ལོ,1
འགན་སྒྲུང,1
བྱམས་པ་མགོན་པོའི,1
སྒོ་ཕྱོགས,1
གཡང་ཅན,1
ཉོ་སའི,1
ཅི་གང་མི་ཤེས,1
ནང་སེམས་ཁམས,1
ཞོ་བླུག,1
དར་ཕྲེང,1
དྲོད་མེད,1
གཟིངས,1
ཐལ་དྲགས་པ,1
དམག་སྤྱི་བ,1
ཆོས་ཞེན,1
ཕར་གི,1
དང་མིན,1
རིན་ཆེན་གྲགས་པ,1
འདྲ་བོའི,1
འཁྲབ་ར,1
ལྕགས་སྦྲུལ,1
རིག་འཛིན་ནོར་བུ,1
སྐྲ་རྩེ,1
ཏིལ་མར,1
མ་འཕྱུགས་པའི,1
གློག་གི,1
མི་བྲན་པའི,1
ཆགས་གྲབས,1
ཚ་གི་ཚི་གི,1
བྱང་ཆུབ་སྤྱོད་མཆོག,1
ཐར་ལོང་སེ,1
མིའི་འཇིག་རྟེན,1
ཞིབ་དཔྱོད་པ,1
ཙ་ར་ཙོ་རེ,1
ཉིནལྷག,1
མི་རྐྱང་པའི,1
རྟ་ནོར་ལུགས,1
